id,geom,name
80120,0102000020E610000003000000C41A78FF697C22406A77FEA325BD464062D284926E7C2240539DC4D622BD4640B909AD3DA27C22408569CEB007BD4640,Via Leonardo Bistolfi
71263,0102000020E6100000020000000261A758356022400A21318B9ABE46402DA006C204602240A5F9635A9BBE4640,
72675,0102000020E61000000600000053B0C6D97470224045F46BEBA7B846405E6FF66283702240B5334C6DA9B84640788DA72F95702240D8E95102ACB84640749DA1139D702240B3B112F3ACB84640D0E4AC99C670224076A15E95B0B8464083CC84155D712240981826AEBEB84640,Viale Bacchiglione
92315,0102000020E610000003000000E465F2727D602240698AA5ED04BB4640BBAAFDE77A602240465ED6C402BB464020C319B2706022404A3A6F08FABA4640,Piazza Giuseppe Missori
71535,0102000020E61000000400000029081EDFDE612240F734CC75BFBA46405EE5BFF682612240BB192433CDBA4640CFDFDFFB76612240D2B1DE03CFBA4640D2F7BFC870612240AD799FF4CFBA4640,
48807,0102000020E6100000030000003A63F3CC26632240D5D40D6F31BB4640E2C73D022463224053584EE72FBB4640CDCB61F71D632240429770E82DBB4640,
70194,0102000020E610000004000000318969954F692240816B38769ABA4640A2E826D64E69224022D9C81A9ABA4640D3E8C4D44C69224070BEC74F99BA464098D64BF84A6922401DACFF7398BA4640,
70173,0102000020E610000003000000E5F27A8BE2682240127640C868BA46406BABA3F496682240F46107DF45BA464052126D228E68224079AEEFC341BA4640,
65164,0102000020E610000002000000A52CE86278652240AD1D20F35CBD4640352ACB6B80652240FFCD8B135FBD4640,Piazza della Repubblica
47300,0102000020E610000003000000008BFCFA217A22403A58FFE730BD4640C750A96D1E7A2240BC7A15191DBD4640BCAE5FB01B7A224095DCBCCC0BBD4640,
87616,0102000020E61000000500000094B65D0DF5642240B5DC3E5013BB4640483481221665224057CF49EF1BBB4640E7502BF1256522402581BC0D20BB4640B16F82CA536522408AD9DCE22BBB464087D970FD606522402F54596F2FBB4640,Via Francesco Sforza
78113,0102000020E610000003000000D3E17C45126C224054E3A59BC4BC46408C20DFEF616C22405E20521DBCBC46406A5A18D8196D22400F7F4DD6A8BC4640,
